#X Y0 Y1 Y2 Y3 Y4 Y5 Y6 Y7 Y8 Y9 
0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
6    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
7    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
8    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
9    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 


0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
5    -nan -nan -nan -nan 4    5    6    -nan -nan -nan 
6    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
7    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
8    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
9    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 


0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
4    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5    -nan -nan -nan 3    -nan 5    -nan 7    -nan -nan 
6    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
7    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
8    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
9    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 


0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
3    -nan -nan -nan -nan 4    5    6    -nan -nan -nan 
4    -nan -nan -nan 3    -nan -nan -nan 7    -nan -nan 
5    -nan -nan 2    3    -nan 5    -nan 7    8    -nan 
6    -nan -nan -nan 3    -nan -nan -nan 7    -nan -nan 
7    -nan -nan -nan -nan 4    5    6    -nan -nan -nan 
8    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
9    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 


0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
2    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5    -nan 1    -nan -nan -nan 5    -nan -nan -nan 9    
6    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
7    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
8    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
9    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 


0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan -nan -nan 4    5    6    -nan -nan -nan 
2    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
3    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4    -nan 1    -nan -nan -nan 5    -nan -nan -nan 9    
5    -nan 1    2    -nan 4    5    6    -nan 8    9    
6    -nan 1    -nan -nan -nan 5    -nan -nan -nan 9    
7    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
8    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
9    -nan -nan -nan -nan 4    5    6    -nan -nan -nan 


0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan -nan 3    -nan -nan -nan 7    -nan -nan 
2    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3    -nan 1    -nan -nan -nan -nan -nan -nan -nan 9    
4    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5    -nan -nan -nan -nan -nan 5    -nan -nan -nan -nan 
6    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
7    -nan 1    -nan -nan -nan -nan -nan -nan -nan 9    
8    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
9    -nan -nan -nan 3    -nan -nan -nan 7    -nan -nan 


0    -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1    -nan -nan 2    3    4    -nan 6    7    8    -nan 
2    -nan 1    -nan 3    -nan -nan -nan 7    -nan 9    
3    -nan 1    2    -nan -nan -nan -nan -nan 8    9    
4    -nan 1    -nan -nan -nan 5    -nan -nan -nan 9    
5    -nan -nan -nan -nan 4    5    6    -nan -nan -nan 
6    -nan 1    -nan -nan -nan 5    -nan -nan -nan 9    
7    -nan 1    2    -nan -nan -nan -nan -nan 8    9    
8    -nan 1    -nan 3    -nan -nan -nan 7    -nan 9    
9    -nan -nan 2    3    4    -nan 6    7    8    -nan 


